,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
97,97,2015-16,DELHI,WEST DELHI,2531583.0,18.91,876.0,87.12,82.5,91.17,130.0,417,33444,1178,8608,146,1475,201,233,489,285,486,40,31,155
98,98,2015-16,DELHI,SOUTH WEST DELHI,2292363.0,30.62,836.0,88.81,83.07,93.62,421.0,397,37029,1434,9790,118,585,210,171,365,343,659,79,97,134
99,99,2015-16,DELHI,SOUTH DELHI,2733752.0,20.59,859.0,87.03,80.99,92.2,247.0,382,33420,1214,7617,209,813,210,231,408,463,913,41,77,177
100,100,2015-16,RAJASTHAN,GANGANAGAR,1969520.0,10.06,887.0,70.25,60.07,79.33,10978.0,430,23497,5060,5486,56,717,390,902,732,1026,1384,148,15,185
101,101,2015-16,RAJASTHAN,HANUMANGARH,1779650.0,17.24,906.0,68.37,56.91,78.82,9656.0,288,18052,5756,3771,51,802,191,617,558,519,560,86,4,76
102,102,2015-16,RAJASTHAN,BIKANER,2367745.0,41.42,903.0,65.92,53.77,76.9,30239.0,656,41998,6496,4705,129,889,472,466,702,772,869,53,31,175
103,103,2015-16,RAJASTHAN,CHURU,2041172.0,6.1,938.0,67.46,54.25,79.95,13835.0,365,20164,6954,3667,18,275,142,334,514,494,372,67,11,62
104,104,2015-16,RAJASTHAN,JHUNJHUNUN,2139658.0,11.81,950.0,74.72,61.15,87.88,5928.0,169,16858,7532,4533,18,217,189,186,398,759,117,217,2,79
105,105,2015-16,RAJASTHAN,ALWAR,3671999.0,22.7,894.0,71.68,56.78,85.08,8380.0,794,47152,11778,6896,53,353,465,459,963,1364,924,202,3,325
106,106,2015-16,RAJASTHAN,BHARATPUR,2549121.0,21.32,877.0,71.16,54.63,85.7,5066.0,109,5730,9718,3164,29,438,325,416,818,1148,618,162,3,306
107,107,2015-16,RAJASTHAN,DHAULPUR,1207293.0,22.78,845.0,70.14,55.45,82.53,3033.0,98,6463,4227,1386,28,160,176,149,460,434,430,82,6,86
108,108,2015-16,RAJASTHAN,KARAULI,1458459.0,20.57,858.0,67.34,49.18,82.96,5524.0,122,3717,4107,884,31,131,153,311,358,414,847,21,4,54
109,109,2015-16,RAJASTHAN,SAWAI MADHOPUR,1338114.0,19.79,894.0,66.19,47.8,82.72,4498.0,546,23759,5118,2039,8,139,110,281,443,715,1375,59,0,120
110,110,2015-16,RAJASTHAN,Dausa,1637226.0,24.31,904.0,69.17,52.33,84.54,3432.0,632,31418,5856,1533,11,278,367,655,553,658,717,153,4,122
111,111,2015-16,RAJASTHAN,JAIPUR,6663971.0,26.91,909.0,76.44,64.63,87.27,11143.0,3705,256851,25531,21744,121,725,1020,1294,1020,2124,1939,272,59,272
112,112,2015-16,RAJASTHAN,SIKAR,2677737.0,17.04,944.0,72.98,58.76,86.66,7732.0,558,30334,10334,4498,11,196,193,432,480,680,172,49,6,94
113,113,2015-16,RAJASTHAN,NAGAUR,3309234.0,19.25,948.0,64.08,48.63,78.9,17718.0,495,29815,11134,4007,53,696,406,788,1058,1074,809,269,17,116
114,114,2015-16,RAJASTHAN,JODHPUR,3685681.0,27.69,915.0,67.09,52.57,80.46,22850.0,1134,79116,11328,9136,199,656,537,943,1477,613,755,64,99,144
115,115,2015-16,RAJASTHAN,JAISALMER,672008.0,32.22,849.0,58.04,40.23,73.09,38401.0,205,12186,1218,449,31,77,53,70,79,115,368,18,0,12
116,116,2015-16,RAJASTHAN,BARMER,2604453.0,32.55,900.0,57.49,41.03,72.32,28387.0,439,20409,3881,827,157,342,347,1072,784,856,1166,75,55,103
117,117,2015-16,RAJASTHAN,JALOR,1830151.0,26.31,951.0,55.58,38.73,71.83,10640.0,64,3288,5196,1235,24,281,250,391,523,605,336,54,11,75
118,118,2015-16,RAJASTHAN,SIROHI,1037185.0,21.86,938.0,56.02,40.12,71.09,5136.0,260,16465,2007,1322,53,329,161,256,503,446,240,12,35,70
119,119,2015-16,RAJASTHAN,PALI,2038533.0,11.99,987.0,63.23,48.35,78.16,12387.0,468,25205,4953,3576,44,669,198,483,636,866,993,32,5,103
120,120,2015-16,RAJASTHAN,AJMER,2584913.0,18.48,950.0,70.46,56.42,83.93,8481.0,1007,72040,4308,7978,40,394,451,377,717,1122,641,138,6,182
121,121,2015-16,RAJASTHAN,TONK,1421711.0,17.33,949.0,62.46,46.01,78.27,7194.0,609,28702,5034,2957,13,243,279,263,432,723,754,86,5,117
122,122,2015-16,RAJASTHAN,BUNDI,1113725.0,15.7,922.0,62.31,47.0,76.52,5776.0,559,24212,3107,2448,9,118,144,149,277,611,576,74,15,117
123,123,2015-16,RAJASTHAN,BHILWARA,2410459.0,19.7,969.0,62.71,47.93,77.16,10455.0,971,58420,3009,4896,26,581,382,655,747,1557,465,153,9,162
